"compound","keggid","number","Pathway_Description"
"Quinolinate","C03722","hsa00380","Tryptophan metabolism"
"2-Aminomuconate semialdehyde","C03824","hsa00380","Tryptophan metabolism"
"2-Amino-3-carboxymuconate semialdehyde","C04409","hsa00380","Tryptophan metabolism"
"5-Hydroxyindoleacetaldehyde","C05634","hsa00380","Tryptophan metabolism"
"5-Hydroxyindoleacetate","C05635","hsa00380","Tryptophan metabolism"
"3-Hydroxykynurenamine","C05636","hsa00380","Tryptophan metabolism"
"4,8-Dihydroxyquinoline","C05637","hsa00380","Tryptophan metabolism"
"5-Hydroxykynurenamine","C05638","hsa00380","Tryptophan metabolism"
"4,6-Dihydroxyquinoline","C05639","hsa00380","Tryptophan metabolism"
"Cinnavalininate","C05640","hsa00380","Tryptophan metabolism"
"5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate","C05641","hsa00380","Tryptophan metabolism"
"Formyl-N-acetyl-5-methoxykynurenamine","C05642","hsa00380","Tryptophan metabolism"
"6-Hydroxymelatonin","C05643","hsa00380","Tryptophan metabolism"
"3-Methylindolepyruvate","C05644","hsa00380","Tryptophan metabolism"
"4-(2-Amino-3-hydroxyphenyl)-2,4-dioxobutanoate","C05645","hsa00380","Tryptophan metabolism"
"5-Hydroxyindolepyruvate","C05646","hsa00380","Tryptophan metabolism"
"Formyl-5-hydroxykynurenamine","C05647","hsa00380","Tryptophan metabolism"
"5-Hydroxy-N-formylkynurenine","C05648","hsa00380","Tryptophan metabolism"
"5-Hydroxykynurenine","C05651","hsa00380","Tryptophan metabolism"
"4-(2-Amino-5-hydroxyphenyl)-2,4-dioxobutanoate","C05652","hsa00380","Tryptophan metabolism"
"Formylanthranilate","C05653","hsa00380","Tryptophan metabolism"
"5-(2'-Formylethyl)-4,6-dihydroxypicolinate","C05654","hsa00380","Tryptophan metabolism"
"5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate","C05655","hsa00380","Tryptophan metabolism"
"5-(3'-Carboxy-3'-oxopropyl)-4,6-dihydroxypicolinate","C05656","hsa00380","Tryptophan metabolism"
"Indoxyl","C05658","hsa00380","Tryptophan metabolism"
"5-Methoxytryptamine","C05659","hsa00380","Tryptophan metabolism"
"5-Methoxyindoleacetate","C05660","hsa00380","Tryptophan metabolism"
"6-Hydroxykynurenate","C05663","hsa00380","Tryptophan metabolism"
"8-Methoxykynurenate","C05830","hsa00380","Tryptophan metabolism"
"3-Methoxyanthranilate","C05831","hsa00380","Tryptophan metabolism"
"5-Hydroxyindoleacetylglycine","C05832","hsa00380","Tryptophan metabolism"
"3-Methyldioxyindole","C05834","hsa00380","Tryptophan metabolism"
"2-Formaminobenzoylacetate","C05835","hsa00380","Tryptophan metabolism"
"Glucobrassicin","C05837","hsa00380","Tryptophan metabolism"
"N-Methylserotonin","C06212","hsa00380","Tryptophan metabolism"
"N-Methyltryptamine","C06213","hsa00380","Tryptophan metabolism"
"Skatole","C08313","hsa00380","Tryptophan metabolism"
"Picolinic acid","C10164","hsa00380","Tryptophan metabolism"
"Indolylmethylthiohydroximate","C16516","hsa00380","Tryptophan metabolism"
"Indolylmethyl-desulfoglucosinolate","C16517","hsa00380","Tryptophan metabolism"
"S-(Indolylmethylthiohydroximoyl)-L-cysteine","C16518","hsa00380","Tryptophan metabolism"
"N-Hydroxyl-tryptamine","C17203","hsa00380","Tryptophan metabolism"
"(R)-(Indol-3-yl)lactate","C22006","hsa00380","Tryptophan metabolism"
"2-Oxoindole-3-acetate","C22202","hsa00380","Tryptophan metabolism"
"Phosphoenolpyruvate","C00074","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"L-Tryptophan","C00078","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"L-Phenylalanine","C00079","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"L-Tyrosine","C00082","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Anthranilate","C00108","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"5-Phospho-alpha-D-ribose 1-diphosphate","C00119","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Phenylpyruvate","C00166","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Chorismate","C00251","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Prephenate","C00254","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"D-Erythrose 4-phosphate","C00279","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Quinate","C00296","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"D-Fructose 1,6-bisphosphate","C00354","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"L-Aspartate 4-semialdehyde","C00441","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Indole","C00463","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Shikimate","C00493","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"3-Hydroxybenzoate","C00587","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"L-Arogenate","C00826","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"3-Dehydroquinate","C00944","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"D-Fructose 1-phosphate","C01094","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"3-(4-Hydroxyphenyl)pyruvate","C01179","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"5-O-(1-Carboxyvinyl)-3-phosphoshikimate","C01269","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate","C01302","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"3-Dehydroshikimate","C02637","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Shikimate 3-phosphate","C03175","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Indoleglycerol phosphate","C03506","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"N-(5-Phospho-D-ribosyl)anthranilate","C04302","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate","C04691","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"6-Deoxy-5-ketofructose 1-phosphate","C16848","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid","C16850","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"L-Homophenylalanine","C17235","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"2-Oxo-4-phenylbutyric acid","C20327","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"2-Benzylmalic acid","C20653","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"3-Benzylmalic acid","C20654","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"(4R,5R)-4,5-Dihydroxycyclohexa-1(6),2-diene-1-carboxylate","C20710","hsa00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"Acetyl-CoA","C00024","hsa00410","beta-Alanine metabolism"
"L-Aspartate","C00049","hsa00410","beta-Alanine metabolism"
"Malonyl-CoA","C00083","hsa00410","beta-Alanine metabolism"
"beta-Alanine","C00099","hsa00410","beta-Alanine metabolism"
"Propanoyl-CoA","C00100","hsa00410","beta-Alanine metabolism"
"Uracil","C00106","hsa00410","beta-Alanine metabolism"
"L-Histidine","C00135","hsa00410","beta-Alanine metabolism"
"3-Oxopropanoate","C00222","hsa00410","beta-Alanine metabolism"
"Spermidine","C00315","hsa00410","beta-Alanine metabolism"
"4-Aminobutanoate","C00334","hsa00410","beta-Alanine metabolism"
"Malonate","C00383","hsa00410","beta-Alanine metabolism"
"Carnosine","C00386","hsa00410","beta-Alanine metabolism"
"5,6-Dihydrouracil","C00429","hsa00410","beta-Alanine metabolism"
"4-Aminobutyraldehyde","C00555","hsa00410","beta-Alanine metabolism"
"Spermine","C00750","hsa00410","beta-Alanine metabolism"
"Propynoate","C00804","hsa00410","beta-Alanine metabolism"
"Pantothenate","C00864","hsa00410","beta-Alanine metabolism"
"Propenoyl-CoA","C00894","hsa00410","beta-Alanine metabolism"
"1,3-Diaminopropane","C00986","hsa00410","beta-Alanine metabolism"
"3-Hydroxypropanoate","C01013","hsa00410","beta-Alanine metabolism"
"N-Acetyl-beta-alanine","C01073","hsa00410","beta-Alanine metabolism"
"beta-Alanyl-N(pi)-methyl-L-histidine","C01262","hsa00410","beta-Alanine metabolism"
"beta-Alanyl-CoA","C02335","hsa00410","beta-Alanine metabolism"
"3-Ureidopropionate","C02642","hsa00410","beta-Alanine metabolism"
"D-4'-Phosphopantothenate","C03492","hsa00410","beta-Alanine metabolism"
"Quinolinate","C03722","hsa00410","beta-Alanine metabolism"
"beta-Alanyl-L-arginine","C05340","hsa00410","beta-Alanine metabolism"
"beta-Alanyl-L-lysine","C05341","hsa00410","beta-Alanine metabolism"
"3-Aminopropanal","C05665","hsa00410","beta-Alanine metabolism"
"3-Hydroxypropionyl-CoA","C05668","hsa00410","beta-Alanine metabolism"
"beta-Nitropropanoate","C05669","hsa00410","beta-Alanine metabolism"
"3-Aminopropiononitrile","C05670","hsa00410","beta-Alanine metabolism"
"Pyruvate","C00022","hsa00430","Taurine and hypotaurine metabolism"
"Acetyl-CoA","C00024","hsa00430","Taurine and hypotaurine metabolism"
"L-Glutamate","C00025","hsa00430","Taurine and hypotaurine metabolism"
"2-Oxoglutarate","C00026","hsa00430","Taurine and hypotaurine metabolism"
"Acetate","C00033","hsa00430","Taurine and hypotaurine metabolism"
"L-Alanine","C00041","hsa00430","Taurine and hypotaurine metabolism"
"Acetaldehyde","C00084","hsa00430","Taurine and hypotaurine metabolism"
"Sulfite","C00094","hsa00430","Taurine and hypotaurine metabolism"
"L-Cysteine","C00097","hsa00430","Taurine and hypotaurine metabolism"
"Acetyl phosphate","C00227","hsa00430","Taurine and hypotaurine metabolism"
"Taurine","C00245","hsa00430","Taurine and hypotaurine metabolism"
"L-Cysteate","C00506","hsa00430","Taurine and hypotaurine metabolism"
"Hypotaurine","C00519","hsa00430","Taurine and hypotaurine metabolism"
"Sulfoacetaldehyde","C00593","hsa00430","Taurine and hypotaurine metabolism"
"3-Sulfino-L-alanine","C00606","hsa00430","Taurine and hypotaurine metabolism"
"Cysteamine","C01678","hsa00430","Taurine and hypotaurine metabolism"
"Taurocyamine","C01959","hsa00430","Taurine and hypotaurine metabolism"
"N-Phosphotaurocyamine","C03149","hsa00430","Taurine and hypotaurine metabolism"
"Taurocholate","C05122","hsa00430","Taurine and hypotaurine metabolism"
"2-Hydroxyethanesulfonate","C05123","hsa00430","Taurine and hypotaurine metabolism"
"5-L-Glutamyl-taurine","C05844","hsa00430","Taurine and hypotaurine metabolism"
"Aminoacetaldehyde","C06735","hsa00430","Taurine and hypotaurine metabolism"
"Sulfoacetate","C14179","hsa00430","Taurine and hypotaurine metabolism"
"Pyruvate","C00022","hsa00440","Phosphonate and phosphinate metabolism"
"Acetate","C00033","hsa00440","Phosphonate and phosphinate metabolism"
"Glycine","C00037","hsa00440","Phosphonate and phosphinate metabolism"
"Formate","C00058","hsa00440","Phosphonate and phosphinate metabolism"
"Phosphoenolpyruvate","C00074","hsa00440","Phosphonate and phosphinate metabolism"
"Acetaldehyde","C00084","hsa00440","Phosphonate and phosphinate metabolism"
"D-Ribose 5-phosphate","C00117","hsa00440","Phosphonate and phosphinate metabolism"
"D-Ribose 1,5-bisphosphate","C01151","hsa00440","Phosphonate and phosphinate metabolism"
"Methane","C01438","hsa00440","Phosphonate and phosphinate metabolism"
"3-Phosphonopyruvate","C02798","hsa00440","Phosphonate and phosphinate metabolism"
"Phosphonoacetaldehyde","C03167","hsa00440","Phosphonate and phosphinate metabolism"
"2-Aminoethylphosphonate","C03557","hsa00440","Phosphonate and phosphinate metabolism"
"L-Phosphinothricin","C04650","hsa00440","Phosphonate and phosphinate metabolism"
"2-Amino-3-phosphonopropanoate","C05672","hsa00440","Phosphonate and phosphinate metabolism"
"CMP-2-aminoethylphosphonate","C05673","hsa00440","Phosphonate and phosphinate metabolism"
"CMP-N-trimethyl-2-aminoethylphosphonate","C05674","hsa00440","Phosphonate and phosphinate metabolism"
"Diacylglyceryl-2-aminoethylphosphonate","C05675","hsa00440","Phosphonate and phosphinate metabolism"
"Diacylglyceryl-N-trimethyl-2-aminoethylphosphonate","C05676","hsa00440","Phosphonate and phosphinate metabolism"
"Lipophosphonoglycan","C05677","hsa00440","Phosphonate and phosphinate metabolism"
"(2-Amino-1-hydroxyethyl)phosphonate","C05678","hsa00440","Phosphonate and phosphinate metabolism"
"N-Monomethyl-2-aminoethylphosphonate","C05679","hsa00440","Phosphonate and phosphinate metabolism"
"N-Dimethyl-2-aminoethylphosphonate","C05680","hsa00440","Phosphonate and phosphinate metabolism"
"Ceramide 2-aminoethylphosphonate","C05681","hsa00440","Phosphonate and phosphinate metabolism"
"Phosphonoacetate","C05682","hsa00440","Phosphonate and phosphinate metabolism"
"Ciliatocholate","C05683","hsa00440","Phosphonate and phosphinate metabolism"
"1-Carboxyvinyl carboxyphosphonate","C06367","hsa00440","Phosphonate and phosphinate metabolism"
"3-(Hydrohydroxyphosphoryl)pyruvate","C06368","hsa00440","Phosphonate and phosphinate metabolism"
"2-Hydroxyethylphosphonate","C06451","hsa00440","Phosphonate and phosphinate metabolism"
"Hydroxymethylphosphonate","C06455","hsa00440","Phosphonate and phosphinate metabolism"
"Phosphonoformate","C06456","hsa00440","Phosphonate and phosphinate metabolism"
"Bialaphos","C06457","hsa00440","Phosphonate and phosphinate metabolism"
"N-Trimethyl-2-aminoethylphosphonate","C06459","hsa00440","Phosphonate and phosphinate metabolism"
"Rhizocticin B","C17940","hsa00440","Phosphonate and phosphinate metabolism"
"2-Oxo-4-phosphonobutanoate","C17941","hsa00440","Phosphonate and phosphinate metabolism"
"FR 900098","C17942","hsa00440","Phosphonate and phosphinate metabolism"
"Formylphosphonate","C17943","hsa00440","Phosphonate and phosphinate metabolism"
"Rhizocticin A","C17944","hsa00440","Phosphonate and phosphinate metabolism"
"Phosphonoformyl-CMP","C17945","hsa00440","Phosphonate and phosphinate metabolism"
"2-Phosphinomethylmalate","C17947","hsa00440","Phosphonate and phosphinate metabolism"
"Deamino-alpha-keto-demethylphosphinothricin","C17948","hsa00440","Phosphonate and phosphinate metabolism"
"N-Acetyldemethylphosphinothricin","C17949","hsa00440","Phosphonate and phosphinate metabolism"
"N-Acetyldemethylphosphinothricin tripeptide","C17950","hsa00440","Phosphonate and phosphinate metabolism"
"N-Acetylbialaphos","C17951","hsa00440","Phosphonate and phosphinate metabolism"
"N-Acetylphosphinothricin","C17952","hsa00440","Phosphonate and phosphinate metabolism"
"Rhizocticin C","C17960","hsa00440","Phosphonate and phosphinate metabolism"
"Rhizocticin D","C17961","hsa00440","Phosphonate and phosphinate metabolism"
"Demethylphosphinothricin","C17962","hsa00440","Phosphonate and phosphinate metabolism"
"Methylphosphonate","C20396","hsa00440","Phosphonate and phosphinate metabolism"
"alpha-D-Ribose 1-methylphosphonate 5-triphosphate","C20422","hsa00440","Phosphonate and phosphinate metabolism"
"alpha-D-Ribose 1-methylphosphonate 5-phosphate","C20423","hsa00440","Phosphonate and phosphinate metabolism"
"alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate","C20440","hsa00440","Phosphonate and phosphinate metabolism"
"D-Ribose 2,5-bisphosphate","C20986","hsa00440","Phosphonate and phosphinate metabolism"
"3-Phosphinomethylmalate","C21372","hsa00440","Phosphonate and phosphinate metabolism"
"2-Acetamidoethylphosphonate","C21403","hsa00440","Phosphonate and phosphinate metabolism"
"N-Ethylacetamide","C21404","hsa00440","Phosphonate and phosphinate metabolism"
"(R)-2-(Phosphonomethyl)malate","C21613","hsa00440","Phosphonate and phosphinate metabolism"
"Protein","C00017","hsa00450","Selenocompound metabolism"
"L-Alanine","C00041","hsa00450","Selenocompound metabolism"
"Hydrogen selenide","C01528","hsa00450","Selenocompound metabolism"
"Dimethyl selenide","C02535","hsa00450","Selenocompound metabolism"
"Selenophosphoric acid","C05172","hsa00450","Selenocompound metabolism"
"L-Selenomethionine","C05335","hsa00450","Selenocompound metabolism"
"Selenomethionyl-tRNA(Met)","C05336","hsa00450","Selenocompound metabolism"
"Selenite","C05684","hsa00450","Selenocompound metabolism"
"Adenylylselenate","C05686","hsa00450","Selenocompound metabolism"
"L-Selenocysteine","C05688","hsa00450","Selenocompound metabolism"
"Se-Methyl-L-selenocysteine","C05689","hsa00450","Selenocompound metabolism"
"Se-Methylselenomethionine","C05690","hsa00450","Selenocompound metabolism"
"gamma-Glutamyl-Se-methylselenocysteine","C05695","hsa00450","Selenocompound metabolism"
"Selenate","C05697","hsa00450","Selenocompound metabolism"
"Selenohomocysteine","C05698","hsa00450","Selenocompound metabolism"
"L-Selenocystathionine","C05699","hsa00450","Selenocompound metabolism"
"Methaneselenol","C05703","hsa00450","Selenocompound metabolism"
"L-Seryl-tRNA(Sec)","C06481","hsa00450","Selenocompound metabolism"
"L-Selenocysteinyl-tRNA(Sec)","C06482","hsa00450","Selenocompound metabolism"
"O-Phosphoseryl-tRNA(Sec)","C16638","hsa00450","Selenocompound metabolism"
"Selenodiglutathione","C18870","hsa00450","Selenocompound metabolism"
"Glutathioselenol","C18871","hsa00450","Selenocompound metabolism"
"Trimethylselenonium","C18872","hsa00450","Selenocompound metabolism"
"1-Methylseleno-N-acetyl-D-galactosamine","C18893","hsa00450","Selenocompound metabolism"
"Methylselenic acid","C18902","hsa00450","Selenocompound metabolism"
"Methylselenopyruvate","C18904","hsa00450","Selenocompound metabolism"
"Methylselenocysteine Se-oxide","C18905","hsa00450","Selenocompound metabolism"
"Pyruvate","C00022","hsa00470","D-Amino acid metabolism"
"L-Glutamate","C00025","hsa00470","D-Amino acid metabolism"
"2-Oxoglutarate","C00026","hsa00470","D-Amino acid metabolism"
"Oxaloacetate","C00036","hsa00470","D-Amino acid metabolism"
"Glycine","C00037","hsa00470","D-Amino acid metabolism"
"L-Alanine","C00041","hsa00470","D-Amino acid metabolism"
"L-Lysine","C00047","hsa00470","D-Amino acid metabolism"
"L-Aspartate","C00049","hsa00470","D-Amino acid metabolism"
"L-Arginine","C00062","hsa00470","D-Amino acid metabolism"
"L-Glutamine","C00064","hsa00470","D-Amino acid metabolism"
"L-Serine","C00065","hsa00470","D-Amino acid metabolism"
"L-Methionine","C00073","hsa00470","D-Amino acid metabolism"
"L-Ornithine","C00077","hsa00470","D-Amino acid metabolism"
"L-Phenylalanine","C00079","hsa00470","D-Amino acid metabolism"
"Acetaldehyde","C00084","hsa00470","D-Amino acid metabolism"
"L-Cysteine","C00097","hsa00470","D-Amino acid metabolism"
"D-Alanine","C00133","hsa00470","D-Amino acid metabolism"
"Putrescine","C00134","hsa00470","D-Amino acid metabolism"
"L-Histidine","C00135","hsa00470","D-Amino acid metabolism"
"L-Proline","C00148","hsa00470","D-Amino acid metabolism"
"Phenylpyruvate","C00166","hsa00470","D-Amino acid metabolism"
"L-Threonine","C00188","hsa00470","D-Amino acid metabolism"
"D-Glutamate","C00217","hsa00470","D-Amino acid metabolism"
"D-Aspartate","C00402","hsa00470","D-Amino acid metabolism"
"5-Aminopentanoate","C00431","hsa00470","D-Amino acid metabolism"
"2,5-Dioxopentanoate","C00433","hsa00470","D-Amino acid metabolism"
"D-Ornithine","C00515","hsa00470","D-Amino acid metabolism"
"LL-2,6-Diaminoheptanedioate","C00666","hsa00470","D-Amino acid metabolism"
"meso-2,6-Diaminoheptanedioate","C00680","hsa00470","D-Amino acid metabolism"
"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate","C00692","hsa00470","D-Amino acid metabolism"
"D-Lysine","C00739","hsa00470","D-Amino acid metabolism"
"D-Serine","C00740","hsa00470","D-Amino acid metabolism"
"D-Proline","C00763","hsa00470","D-Amino acid metabolism"
"D-Arginine","C00792","hsa00470","D-Amino acid metabolism"
"D-Cysteine","C00793","hsa00470","D-Amino acid metabolism"
"D-Glutamine","C00819","hsa00470","D-Amino acid metabolism"
"D-Threonine","C00820","hsa00470","D-Amino acid metabolism"
"D-Methionine","C00855","hsa00470","D-Amino acid metabolism"
"D-Alanyl-D-alanine","C00993","hsa00470","D-Amino acid metabolism"
"5-Amino-2-oxopentanoic acid","C01110","hsa00470","D-Amino acid metabolism"
"Hydroxyproline","C01157","hsa00470","D-Amino acid metabolism"
"4-Methylthio-2-oxobutanoic acid","C01180","hsa00470","D-Amino acid metabolism"
"Bacitracin","C01667","hsa00470","D-Amino acid metabolism"
"Cadaverine","C01672","hsa00470","D-Amino acid metabolism"
"D-Lombricine","C01726","hsa00470","D-Amino acid metabolism"
"5-Oxo-D-proline","C02237","hsa00470","D-Amino acid metabolism"
"D-Phenylalanine","C02265","hsa00470","D-Amino acid metabolism"
"N-Phospho-D-lombricine","C02855","hsa00470","D-Amino acid metabolism"
"6-Amino-2-oxohexanoate","C03239","hsa00470","D-Amino acid metabolism"
"2-Amino-4-oxopentanoic acid","C03341","hsa00470","D-Amino acid metabolism"
"cis-4-Hydroxy-D-proline","C03440","hsa00470","D-Amino acid metabolism"
"1-Pyrroline-2-carboxylate","C03564","hsa00470","D-Amino acid metabolism"
"5-Guanidino-2-oxopentanoate","C03771","hsa00470","D-Amino acid metabolism"
"5-D-Glutamyl-D-glutamyl-peptide","C03933","hsa00470","D-Amino acid metabolism"
"(2R,4S)-2,4-Diaminopentanoate","C03943","hsa00470","D-Amino acid metabolism"
"O-D-Alanyl-poly(ribitol phosphate)","C04260","hsa00470","D-Amino acid metabolism"
"1-Pyrroline-4-hydroxy-2-carboxylate","C04282","hsa00470","D-Amino acid metabolism"
"D-Alanyl-alanyl-poly(glycerolphosphate)","C04457","hsa00470","D-Amino acid metabolism"
"(2R,5S)-2,5-Diaminohexanoate","C05161","hsa00470","D-Amino acid metabolism"
"N-Acetyl-D-phenylalanine","C05620","hsa00470","D-Amino acid metabolism"
"2-Amino-5-oxohexanoate","C05825","hsa00470","D-Amino acid metabolism"
"Linatine","C05939","hsa00470","D-Amino acid metabolism"
"2-Oxo-4-hydroxy-5-aminovalerate","C05941","hsa00470","D-Amino acid metabolism"
"Pyrrole-2-carboxylate","C05942","hsa00470","D-Amino acid metabolism"
"D-Histidine","C06419","hsa00470","D-Amino acid metabolism"
"Staphylopine","C22024","hsa00470","D-Amino acid metabolism"
"(2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate","C22025","hsa00470","D-Amino acid metabolism"
"NADPH","C00005","hsa00480","Glutathione metabolism"
"NADP+","C00006","hsa00480","Glutathione metabolism"
"Acetyl-CoA","C00024","hsa00480","Glutathione metabolism"
"L-Glutamate","C00025","hsa00480","Glutathione metabolism"
"Glycine","C00037","hsa00480","Glutathione metabolism"
"Glutathione","C00051","hsa00480","Glutathione metabolism"
"Ascorbate","C00072","hsa00480","Glutathione metabolism"
"L-Ornithine","C00077","hsa00480","Glutathione metabolism"
"L-Cysteine","C00097","hsa00480","Glutathione metabolism"
"Glutathione disulfide","C00127","hsa00480","Glutathione metabolism"
"Putrescine","C00134","hsa00480","Glutathione metabolism"
"L-Amino acid","C00151","hsa00480","Glutathione metabolism"
"Spermidine","C00315","hsa00480","Glutathione metabolism"
"gamma-L-Glutamyl-L-cysteine","C00669","hsa00480","Glutathione metabolism"
"Spermine","C00750","hsa00480","Glutathione metabolism"
"RX","C01322","hsa00480","Glutathione metabolism"
"Cys-Gly","C01419","hsa00480","Glutathione metabolism"
"Cadaverine","C01672","hsa00480","Glutathione metabolism"
"5-Oxoproline","C01879","hsa00480","Glutathione metabolism"
"Trypanothione","C02090","hsa00480","Glutathione metabolism"
"R-S-Glutathione","C02320","hsa00480","Glutathione metabolism"
"Trypanothione disulfide","C03170","hsa00480","Glutathione metabolism"
"Bis-gamma-glutamylcystine","C03646","hsa00480","Glutathione metabolism"
"(5-L-Glutamyl)-L-amino acid","C03740","hsa00480","Glutathione metabolism"
"Dehydroascorbate","C05422","hsa00480","Glutathione metabolism"
"S-Substituted L-cysteine","C05726","hsa00480","Glutathione metabolism"
"S-Substituted N-acetyl-L-cysteine","C05727","hsa00480","Glutathione metabolism"
"R-S-Cysteinylglycine","C05729","hsa00480","Glutathione metabolism"
"Glutathionylspermidine","C05730","hsa00480","Glutathione metabolism"
"Glutathionylspermine","C16562","hsa00480","Glutathione metabolism"
"Bis(glutathionyl)spermine","C16563","hsa00480","Glutathione metabolism"
"Bis(glutathionyl)spermine disulfide","C16564","hsa00480","Glutathione metabolism"
"Aminopropylcadaverine","C16565","hsa00480","Glutathione metabolism"
"Glutathionylaminopropylcadaverine","C16566","hsa00480","Glutathione metabolism"
"Homotrypanothione","C16567","hsa00480","Glutathione metabolism"
"Homotrypanothione disulfide","C16568","hsa00480","Glutathione metabolism"
"Tryparedoxin","C16663","hsa00480","Glutathione metabolism"
"Tryparedoxin disulfide","C16664","hsa00480","Glutathione metabolism"
"UDP-glucose","C00029","hsa00500","Starch and sucrose metabolism"
"D-Glucose","C00031","hsa00500","Starch and sucrose metabolism"
"D-Fructose 6-phosphate","C00085","hsa00500","Starch and sucrose metabolism"
"Sucrose","C00089","hsa00500","Starch and sucrose metabolism"
"D-Glucose 6-phosphate","C00092","hsa00500","Starch and sucrose metabolism"
"D-Fructose","C00095","hsa00500","Starch and sucrose metabolism"
"D-Glucose 1-phosphate","C00103","hsa00500","Starch and sucrose metabolism"
"Cellobiose","C00185","hsa00500","Starch and sucrose metabolism"
"Maltose","C00208","hsa00500","Starch and sucrose metabolism"
"Isomaltose","C00252","hsa00500","Starch and sucrose metabolism"
"Starch","C00369","hsa00500","Starch and sucrose metabolism"
"Dextran","C00372","hsa00500","Starch and sucrose metabolism"
"GDP-glucose","C00394","hsa00500","Starch and sucrose metabolism"
"ADP-glucose","C00498","hsa00500","Starch and sucrose metabolism"
"CDP-glucose","C00501","hsa00500","Starch and sucrose metabolism"
"beta-D-Glucose 1-phosphate","C00663","hsa00500","Starch and sucrose metabolism"
"alpha,alpha'-Trehalose 6-phosphate","C00689","hsa00500","Starch and sucrose metabolism"
"Amylose","C00718","hsa00500","Starch and sucrose metabolism"
"Dextrin","C00721","hsa00500","Starch and sucrose metabolism"
"Cellulose","C00760","hsa00500","Starch and sucrose metabolism"
"beta-D-Glucoside","C00963","hsa00500","Starch and sucrose metabolism"
"1,3-beta-D-Glucan","C00965","hsa00500","Starch and sucrose metabolism"
"Cyclomaltodextrin","C00973","hsa00500","Starch and sucrose metabolism"
"alpha,alpha-Trehalose","C01083","hsa00500","Starch and sucrose metabolism"
"alpha-D-Glucose 1,6-bisphosphate","C01231","hsa00500","Starch and sucrose metabolism"
"Levanbiose","C01725","hsa00500","Starch and sucrose metabolism"
"Cellodextrin","C01898","hsa00500","Starch and sucrose metabolism"
"Maltodextrin","C01935","hsa00500","Starch and sucrose metabolism"
"Sucrose 6'-phosphate","C02591","hsa00500","Starch and sucrose metabolism"
"Maltose 6'-phosphate","C02995","hsa00500","Starch and sucrose metabolism"
"(2,1-beta-D-Fructosyl)n","C03323","hsa00500","Starch and sucrose metabolism"
"6-Phospho-beta-D-glucosyl-(1,4)-D-glucose","C04534","hsa00500","Starch and sucrose metabolism"
"3-Ketosucrose","C05731","hsa00500","Starch and sucrose metabolism"
"Levan","C06215","hsa00500","Starch and sucrose metabolism"
"1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside","C06400","hsa00500","Starch and sucrose metabolism"
